,channelGrouping,device.browser,device.deviceCategory,device.operatingSystem,trafficSource.medium,device.isMobile,weekend_prop,hour,totals.hits.log,totals.pageviews.log,bounce_prop
3042,Organic Search,Chrome,desktop,Windows,organic,0,1.0,4.0,3.332204510175204,3.332204510175204,0.0
3043,Referral,Chrome,desktop,Macintosh,referral,0,0.0,10.5,3.2771447329921766,3.1135153092103742,0.5
3044,Direct,Chrome,desktop,Macintosh,(none),0,0.0,18.0,2.9444389791664403,2.70805020110221,0.0
3045,Direct,Chrome,desktop,Windows,(none),0,0.0,15.0,1.6094379124341003,1.3862943611198906,0.0333333333333333
3046,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,19.0,1.0986122886681098,1.0986122886681098,0.3333333333333333
3047,Referral,Chrome,desktop,Macintosh,referral,0,0.8,19.0,2.70805020110221,2.302585092994046,0.0
3048,Referral,Chrome,desktop,Macintosh,referral,0,0.125,16.0,2.3513752571634776,2.0794415416798357,0.375
3049,Direct,Chrome,desktop,Windows,(none),0,0.0,12.5,3.7256934272366524,3.417726683613366,0.0
3050,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,2.6390573296152584,2.3978952727983707,0.0
3051,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,23.0,2.6026896854443837,2.3513752571634776,0.5
3052,Referral,Chrome,desktop,Macintosh,referral,0,0.125,15.0,2.1400661634962708,1.9459101490553132,0.125
3053,Organic Search,Chrome,desktop,Windows,organic,0,0.1495327102803738,17.0,1.6094379124341003,1.3862943611198906,0.2523364485981308
3054,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,1.791759469228055,1.3862943611198906,0.0
3055,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,4.787491742782046,4.564348191467836,0.0
3056,Referral,Chrome,desktop,Macintosh,referral,0,0.0,11.0,2.2512917986064953,2.1400661634962708,0.0
3057,Referral,Chrome,desktop,Macintosh,referral,0,0.4,17.0,1.6094379124341003,1.3862943611198906,0.2
3058,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,22.0,2.833213344056216,2.833213344056216,0.0
3059,Referral,Chrome,desktop,Linux,referral,0,0.0,1.0,2.4849066497880004,2.302585092994046,0.0
3060,Referral,Chrome,desktop,Macintosh,referral,0,0.0,20.0,2.1972245773362196,1.9459101490553132,0.0
3061,Organic Search,Chrome,desktop,Windows,organic,0,1.0,8.0,3.1780538303479458,3.091042453358316,0.0
3062,Referral,Chrome,desktop,Chrome OS,referral,0,1.0,16.0,3.9512437185814275,3.7612001156935624,0.0
3063,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,6.0,3.828641396489095,3.4965075614664802,0.0
3064,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,5.0,2.833213344056216,2.70805020110221,0.0
3065,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,3.6375861597263857,3.332204510175204,0.0
3066,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,0.6931471805599453,0.6931471805599453,0.3333333333333333
3067,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.0149030205422647,1.9459101490553132,0.0
3068,Direct,Chrome,desktop,Windows,(none),0,0.0,11.0,2.3978952727983707,2.3978952727983707,0.0
3069,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.5,1.791759469228055,1.5040773967762742,0.0
3070,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,12.0,3.9982007016691985,3.6506582412937387,0.0
3071,Organic Search,Chrome,desktop,Macintosh,organic,0,0.2,18.0,0.0,0.0,0.8
3072,Organic Search,Safari,mobile,iOS,organic,1,0.0,4.0,3.6506582412937387,3.367295829986474,0.0
3073,Direct,Firefox,desktop,Windows,(none),0,0.0,18.0,2.833213344056216,2.833213344056216,0.0
3074,Referral,Chrome,desktop,Windows,referral,0,0.0,14.0,2.0794415416798357,2.0794415416798357,0.0
3075,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,2.0149030205422647,1.9459101490553132,0.0
3076,Referral,Chrome,desktop,Macintosh,referral,0,1.0,15.0,3.1354942159291497,3.091042453358316,0.0
3077,Referral,Chrome,desktop,Linux,referral,0,0.0,19.0,1.791759469228055,1.791759469228055,0.0
3078,Organic Search,Chrome,desktop,Windows,organic,0,0.0,14.0,4.727387818712341,4.394449154672439,0.0
3079,Paid Search,Chrome,mobile,Android,cpc,1,0.0,17.0,2.1972245773362196,2.1972245773362196,0.0
3080,Organic Search,Chrome,desktop,Linux,organic,0,0.25,11.0,2.302585092994046,2.1972245773362196,0.25
3081,Organic Search,Chrome,desktop,Windows,organic,0,0.5,17.5,2.1972245773362196,2.1400661634962708,0.0
3082,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.5,3.068052935133617,2.803360380906535,0.0
3083,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,3.0,0.0,0.0,0.6
3084,Direct,Chrome,desktop,Chrome OS,(none),0,0.0,17.0,2.1972245773362196,2.1400661634962708,0.5
3085,Referral,Chrome,desktop,Linux,referral,0,1.0,15.0,4.276666119016055,3.9512437185814275,0.0
3086,Referral,Chrome,desktop,Linux,referral,0,0.0,16.5,2.5649493574615367,2.3513752571634776,0.0
3087,Organic Search,Chrome,desktop,Macintosh,organic,0,0.25,20.5,1.6094379124341003,1.6094379124341003,0.0
3088,Referral,Chrome,desktop,Macintosh,referral,0,0.125,9.5,2.4423470353692043,2.2512917986064953,0.375
3089,Organic Search,Chrome,desktop,Windows,organic,0,0.0,14.0,1.6094379124341003,1.3862943611198906,0.25
3090,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,16.0,2.9444389791664403,2.772588722239781,0.0
3091,Direct,Chrome,desktop,Macintosh,(none),0,0.0,18.0,3.044522437723423,3.044522437723423,0.0
3092,Referral,Chrome,desktop,Macintosh,referral,0,0.0,15.5,3.6375861597263857,3.367295829986474,0.0
3093,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.5,1.9459101490553132,1.6094379124341003,0.1
3094,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,2.0794415416798357,1.3862943611198906,0.2
3095,Direct,Chrome,desktop,Macintosh,(none),0,0.0,14.5,3.0204248861443626,2.917770732084279,0.0
3096,Direct,Chrome,desktop,Macintosh,(none),0,0.0,15.0,2.5649493574615367,2.4849066497880004,0.0
3097,Referral,Chrome,desktop,Linux,referral,0,0.0,9.5,3.2188758248682006,2.9444389791664403,0.0
3098,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,15.0,2.5257286443082556,2.2512917986064953,0.0
3099,Direct,Chrome,mobile,Android,(none),1,1.0,5.0,3.6888794541139363,3.4965075614664802,0.0
3100,Referral,Chrome,desktop,Macintosh,referral,0,1.0,18.0,3.4011973816621555,2.6390573296152584,0.0
3101,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,3.0,2.5649493574615367,2.3978952727983707,0.4
3102,Organic Search,Chrome,tablet,Android,organic,1,1.0,13.0,3.1354942159291497,2.9444389791664403,0.0
3103,Organic Search,Chrome,desktop,Windows,organic,0,0.0,18.0,2.9444389791664403,2.833213344056216,0.0
3104,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,13.0,3.1780538303479458,2.8903717578961645,0.0
3105,Paid Search,Chrome,desktop,Macintosh,cpc,0,1.0,14.0,4.02535169073515,3.784189633918261,0.0
3106,Direct,Chrome,mobile,Android,(none),1,0.0,11.5,2.0149030205422647,1.8718021769015913,0.5
3107,Organic Search,Safari,tablet,iOS,organic,1,1.0,16.0,2.833213344056216,2.70805020110221,0.0
3108,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,19.0,1.9459101490553132,1.9459101490553132,0.3333333333333333
3109,Paid Search,Safari,desktop,Macintosh,cpc,0,0.5,13.0,3.044522437723423,2.833213344056216,0.0
3110,Organic Search,Chrome,desktop,Linux,organic,0,0.0,18.0,0.0,0.0,0.8333333333333334
3111,Display,Chrome,desktop,Macintosh,cpm,0,0.2857142857142857,18.0,2.3978952727983707,1.9459101490553132,0.1428571428571428
3112,Organic Search,Safari,mobile,iOS,organic,1,0.0,6.5,0.9162907318741551,0.6931471805599453,0.375
3113,Referral,Chrome,desktop,Windows,referral,0,0.0,16.0,2.9444389791664403,2.9444389791664403,0.0
3114,Referral,Chrome,desktop,Macintosh,referral,0,0.0,20.0,2.0794415416798357,2.0794415416798357,0.0
3115,Paid Search,Safari,mobile,iOS,cpc,1,0.0,18.0,2.772588722239781,2.4849066497880004,0.0
3116,Display,Chrome,desktop,Macintosh,cpm,0,0.0,17.0,2.5649493574615367,2.1972245773362196,0.1111111111111111
3117,Referral,Chrome,desktop,Macintosh,referral,0,0.0,22.5,2.2512917986064953,2.1400661634962708,0.0
3118,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.5,3.676300671907076,3.449987545831587,0.0
3119,Direct,Chrome,desktop,Macintosh,(none),0,0.0,19.0,2.970414465569701,2.70805020110221,0.0
3120,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,7.5,3.332204510175204,3.091042453358316,0.0
3121,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.8903717578961645,2.6390573296152584,0.0
3122,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,1.252762968495368,1.252762968495368,0.0
3123,Direct,Chrome,desktop,Macintosh,(none),0,0.0,9.5,3.597312260588446,3.332204510175204,0.0
3124,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.0,2.0,2.8903717578961645,2.803360380906535,0.0
3125,Referral,Chrome,desktop,Macintosh,referral,0,0.5,6.5,3.1986731175506815,3.1135153092103742,0.0
3126,Direct,Chrome,desktop,Chrome OS,(none),0,0.0,3.0,2.3513752571634776,2.302585092994046,0.0
3127,Organic Search,Chrome,desktop,Windows,organic,0,0.0,16.0,2.4849066497880004,2.302585092994046,0.0
3128,Organic Search,Chrome,mobile,Android,organic,1,0.0,21.5,1.9459101490553132,1.791759469228055,0.3333333333333333
3129,Organic Search,Chrome,desktop,Windows,organic,0,0.0,19.0,3.8066624897703196,3.5553480614894135,0.0
3130,Paid Search,Safari,tablet,iOS,cpc,1,0.5,11.0,0.4054651081081644,0.4054651081081644,0.5
3131,Direct,Chrome,desktop,Windows,(none),0,0.0,15.5,3.044522437723423,2.833213344056216,0.0
3132,Referral,Chrome,desktop,Windows,referral,0,0.0,16.5,2.833213344056216,2.5649493574615367,0.1666666666666666
3133,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,2.302585092994046,2.302585092994046,0.0
3134,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,2.302585092994046,2.0794415416798357,0.0
3135,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.0,2.3978952727983707,2.0794415416798357,0.0
3136,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,3.5,2.995732273553991,2.6741486494265287,0.0
3137,Referral,Chrome,desktop,Windows,referral,0,0.0,20.0,2.1972245773362196,2.0794415416798357,0.25
3138,Organic Search,Chrome,desktop,Windows,organic,0,0.0,7.5,2.4849066497880004,2.1972245773362196,0.25
3139,Organic Search,Chrome,desktop,Windows,organic,0,0.0,18.0,1.3862943611198906,1.3862943611198906,0.3333333333333333
3140,Direct,Chrome,desktop,Macintosh,(none),0,0.0,20.5,2.5257286443082556,2.4849066497880004,0.0
3141,Referral,Chrome,desktop,Macintosh,referral,0,0.0,0.5,3.597312260588446,3.0204248861443626,0.0
3142,Referral,Chrome,desktop,Chrome OS,referral,0,0.0666666666666666,17.0,1.791759469228055,1.6094379124341003,0.1333333333333333
3143,Referral,Chrome,desktop,Macintosh,referral,0,0.125,19.0,1.6094379124341003,1.3862943611198906,0.0
3144,Paid Search,Firefox,desktop,Windows,cpc,0,0.0,18.0,2.803360380906535,2.6026896854443837,0.0
3145,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.2512917986064953,1.8718021769015913,0.0
3146,Referral,Chrome,desktop,Macintosh,referral,0,0.0,1.0,2.9444389791664403,2.9444389791664403,0.0
3147,Referral,Chrome,desktop,Windows,referral,0,0.0,2.0,3.6635616461296463,3.367295829986474,0.0
3148,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,2.302585092994046,2.2512917986064953,0.5
3149,Referral,Chrome,desktop,Windows,referral,0,0.0,15.0,1.9459101490553132,1.6094379124341003,0.0
3150,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.25,13.0,1.791759469228055,1.0986122886681098,0.25
3151,Organic Search,Chrome,desktop,Windows,organic,0,0.0,16.0,2.4849066497880004,2.302585092994046,0.0
3152,Direct,Chrome,desktop,Macintosh,(none),0,0.0,19.0,1.0986122886681098,0.0,0.4285714285714285
3153,Referral,Chrome,desktop,Linux,referral,0,1.0,4.0,4.48863636973214,4.189654742026425,0.0
3154,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,21.0,3.1354942159291497,3.044522437723423,0.0
3155,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,14.5,3.1986731175506815,3.0204248861443626,0.0
3156,Referral,Chrome,desktop,Windows,referral,0,0.0,19.0,1.791759469228055,1.791759469228055,0.0
3157,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,3.2188758248682006,3.091042453358316,0.0
3158,Paid Search,Safari,desktop,Macintosh,cpc,0,0.0,23.0,4.07753744390572,3.871201010907891,0.0
3159,Direct,Chrome,desktop,Macintosh,(none),0,0.0,18.5,2.4423470353692043,2.3978952727983707,0.5
3160,Organic Search,Chrome,desktop,Windows,organic,0,0.0,20.5,3.6375861597263857,3.3843902633457743,0.0
3161,Direct,Chrome,desktop,Linux,(none),0,0.0,16.0,1.9459101490553132,1.9459101490553132,0.0
3162,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,2.970414465569701,2.3978952727983707,0.0
3163,Paid Search,Chrome,desktop,Windows,cpc,0,0.0,19.5,3.4965075614664802,3.2386784521643803,0.0
3164,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,22.0,3.784189633918261,3.4011973816621555,0.0
3165,Referral,Chrome,desktop,Macintosh,referral,0,0.0,14.0,1.3862943611198906,1.3862943611198906,0.3333333333333333
3166,Organic Search,Safari,desktop,Macintosh,organic,0,1.0,14.0,3.1780538303479458,3.044522437723423,0.0
3167,Organic Search,Chrome,mobile,Android,organic,1,0.0,12.5,3.449987545831587,3.1354942159291497,0.0
3168,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.5,1.7047480922384253,1.6094379124341003,0.0
3169,Direct,Internet Explorer,mobile,Windows,(none),1,0.0,5.0,3.258096538021482,2.995732273553991,0.0
3170,Referral,Chrome,desktop,Linux,referral,0,0.0,20.5,2.70805020110221,2.5257286443082556,0.0
3171,Organic Search,Safari,desktop,Macintosh,organic,0,0.5555555555555556,18.0,2.6390573296152584,2.3978952727983707,0.0
3172,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,3.258096538021482,3.091042453358316,0.0
3173,Direct,Chrome,desktop,Macintosh,(none),0,0.0,2.0,3.7612001156935624,3.5263605246161616,0.0
3174,Organic Search,Safari,mobile,iOS,organic,1,0.0,22.0,3.1354942159291497,2.995732273553991,0.0
3175,Direct,Chrome,desktop,Macintosh,(none),0,0.5,3.5,3.258096538021482,2.970414465569701,0.5
3176,Referral,Chrome,desktop,Macintosh,referral,0,0.0,1.0,3.8918202981106265,3.6109179126442243,0.0
3177,Organic Search,Safari,mobile,iOS,organic,1,0.0,3.0,2.0794415416798357,2.0794415416798357,0.0
3178,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.5,3.2188758248682006,2.995732273553991,0.5
3179,Organic Search,Chrome,desktop,Windows,organic,0,0.0,18.5,3.8815637979434374,3.481240089335692,0.0
3180,Organic Search,Chrome,desktop,Windows,organic,0,0.0,19.0,1.9459101490553132,1.6094379124341003,0.0
3181,Organic Search,Safari,mobile,iOS,organic,1,0.1666666666666666,16.5,2.2512917986064953,2.0149030205422647,0.1666666666666666
3182,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,2.772588722239781,2.6026896854443837,0.0
3183,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,1.3862943611198906,1.3862943611198906,0.2
3184,Referral,Chrome,desktop,Windows,referral,0,0.0,23.0,3.7376696182833684,3.367295829986474,0.0
3185,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,2.833213344056216,2.70805020110221,0.0
3186,Direct,Chrome,desktop,Macintosh,(none),0,0.0,16.0,0.0,0.0,0.5909090909090909
3187,Referral,Chrome,desktop,Macintosh,referral,0,0.0,20.0,3.4965075614664802,3.332204510175204,0.0
3188,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,2.8903717578961645,2.6741486494265287,0.0
3189,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,18.0,3.258096538021482,2.833213344056216,0.0
3190,Organic Search,Chrome,desktop,Windows,organic,0,0.0,3.0,3.912023005428146,3.4965075614664802,0.0
3191,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,3.0,2.6390573296152584,2.1972245773362196,0.3333333333333333
3192,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,16.0,2.70805020110221,2.5649493574615367,0.0
3193,Referral,Chrome,desktop,Windows,referral,0,0.0,18.0,2.4849066497880004,2.302585092994046,0.0
3194,Organic Search,Chrome,desktop,Windows,organic,0,1.0,21.0,2.9444389791664403,2.833213344056216,0.0
3195,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,2.995732273553991,2.833213344056216,0.2
3196,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,16.0,2.0794415416798357,1.791759469228055,0.0
3197,Organic Search,Chrome,desktop,Macintosh,organic,0,0.125,17.5,0.4054651081081644,0.4054651081081644,0.5
3198,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.5,2.772588722239781,2.5649493574615367,0.0
3199,Organic Search,Chrome,mobile,Android,organic,1,1.0,22.0,2.1972245773362196,2.0794415416798357,0.0
3200,Direct,Chrome,desktop,Macintosh,(none),0,0.0,16.0,2.995732273553991,2.6390573296152584,0.0
3201,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.5,2.6390573296152584,2.302585092994046,0.1666666666666666
3202,Organic Search,Chrome,desktop,Windows,organic,0,0.0,14.0,3.1780538303479458,3.0204248861443626,0.0
3203,Organic Search,Firefox,desktop,Windows,organic,0,0.0,18.0,3.367295829986474,3.295836866004329,0.0
3204,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.0,2.3978952727983707,2.3978952727983707,0.0
3205,Organic Search,Chrome,desktop,Windows,organic,0,1.0,23.0,2.995732273553991,2.9444389791664403,0.0
3206,Referral,Chrome,desktop,Macintosh,referral,0,0.1,15.5,2.0149030205422647,1.791759469228055,0.1
3207,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.5,3.091042453358316,2.740840023925201,0.0
3208,Referral,Chrome,desktop,Macintosh,referral,0,1.0,10.0,2.302585092994046,2.1400661634962708,0.0
3209,Referral,Chrome,desktop,Macintosh,referral,0,0.5,10.5,2.917770732084279,2.6026896854443837,0.0
3210,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,1.6094379124341003,1.5040773967762742,0.2
3211,Direct,Chrome,mobile,Android,(none),1,0.0,19.0,3.6888794541139363,3.4011973816621555,0.0
3212,Referral,Chrome,desktop,Windows,referral,0,0.0,20.0,3.1354942159291497,2.833213344056216,0.0
3213,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,2.8622008809294686,2.6390573296152584,0.0
3214,Organic Search,Chrome,desktop,Windows,organic,0,0.0,18.0,2.9444389791664403,2.772588722239781,0.0
3215,Referral,Chrome,desktop,Macintosh,referral,0,0.0,22.0,3.1780538303479458,3.044522437723423,0.0
3216,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.0,5.0,3.1780538303479458,3.1780538303479458,0.0
3217,Display,Chrome,desktop,Macintosh,cpm,0,0.0,16.0,1.9459101490553132,1.6094379124341003,0.4
3218,Direct,Internet Explorer,desktop,Windows,(none),0,0.0,17.0,2.9444389791664403,2.772588722239781,0.0
3219,Referral,Chrome,desktop,Macintosh,referral,0,0.25,12.5,1.0986122886681098,1.0986122886681098,0.0625
3220,Organic Search,Chrome,mobile,Android,organic,1,0.0,20.5,2.6741486494265287,2.6390573296152584,0.0
3221,Referral,Chrome,desktop,Macintosh,referral,0,0.1428571428571428,17.0,2.9444389791664403,2.70805020110221,0.1428571428571428
3222,Referral,Chrome,desktop,Macintosh,referral,0,1.0,22.0,3.8066624897703196,3.4965075614664802,0.0
3223,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.5,3.4339872044851463,3.1135153092103742,0.0
3224,Display,Chrome,desktop,Macintosh,cpm,0,0.0,22.0,3.2188758248682006,3.044522437723423,0.0
3225,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.5,1.8718021769015913,1.7047480922384253,0.0
3226,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.0,3.1354942159291497,3.044522437723423,0.0
3227,Referral,Chrome,desktop,Macintosh,referral,0,0.5,9.5,3.6506582412937387,3.332204510175204,0.0
3228,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.2,15.0,3.295836866004329,2.9444389791664403,0.0
3229,Organic Search,Chrome,mobile,iOS,organic,1,0.0,13.0,3.044522437723423,2.772588722239781,0.0
3230,Organic Search,Safari,mobile,iOS,organic,1,0.0,5.0,2.4849066497880004,2.0794415416798357,0.3333333333333333
3231,Organic Search,Chrome,desktop,Windows,organic,0,0.0,7.0,2.0794415416798357,1.791759469228055,0.3333333333333333
3232,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,2.0,3.828641396489095,3.5263605246161616,0.0
3233,Affiliates,Chrome,desktop,Macintosh,affiliate,0,0.0,20.0,3.4657359027997265,3.091042453358316,0.3333333333333333
3234,Social,Chrome,desktop,Macintosh,referral,0,0.0,18.0,2.1400661634962708,2.0794415416798357,0.1666666666666666
3235,Organic Search,Safari,mobile,iOS,organic,1,0.0,20.0,0.6931471805599453,0.6931471805599453,0.4
3236,Direct,Chrome,desktop,Macintosh,(none),0,0.625,11.0,2.3978952727983707,1.6094379124341003,0.375
3237,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.5,3.5115454388310208,3.1986731175506815,0.0
3238,Organic Search,Firefox,desktop,Windows,organic,0,1.0,14.0,1.791759469228055,1.5040773967762742,0.0
3239,Referral,Chrome,desktop,Linux,referral,0,0.0,0.0,3.9318256327243257,3.6506582412937387,0.0
3240,Referral,Chrome,desktop,Linux,referral,0,0.0,22.0,1.0986122886681098,1.0986122886681098,0.0
3241,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,2.0,2.70805020110221,2.6390573296152584,0.0
3242,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,3.258096538021482,3.044522437723423,0.0
3243,Direct,Chrome,desktop,Macintosh,(none),0,0.0,0.0,2.995732273553991,2.8903717578961645,0.0
3244,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,19.0,3.068052935133617,2.772588722239781,0.0
3245,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,6.0,3.901972669574645,3.624340932976365,0.0
3246,Organic Search,Chrome,desktop,Windows,organic,0,0.5,15.5,3.349904087274605,3.0204248861443626,0.0
3247,Social,Chrome,desktop,Windows,referral,0,0.8,17.0,2.772588722239781,2.302585092994046,0.4
3248,Direct,Chrome,desktop,Linux,(none),0,0.0,22.0,1.6094379124341003,1.6094379124341003,0.3333333333333333
3249,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.5,3.3141860046725258,3.044522437723423,0.0
3250,Organic Search,Chrome,desktop,Macintosh,organic,0,0.2857142857142857,3.0,0.6931471805599453,0.6931471805599453,0.2857142857142857
3251,Direct,Chrome,desktop,Chrome OS,(none),0,0.032258064516129,17.0,3.1780538303479458,2.9444389791664403,0.2580645161290322
3252,Organic Search,Chrome,mobile,Android,organic,1,1.0,15.0,3.295836866004329,3.044522437723423,0.0
3253,Referral,Chrome,desktop,Macintosh,referral,0,0.6,2.0,1.6094379124341003,1.6094379124341003,0.0
3254,Organic Search,Chrome,desktop,Windows,organic,0,0.0,16.5,1.8718021769015913,1.8718021769015913,0.0
3255,Referral,Chrome,desktop,Linux,referral,0,0.0,21.0,2.302585092994046,2.302585092994046,0.0
3256,Referral,Chrome,desktop,Macintosh,referral,0,0.1818181818181818,17.0,1.3862943611198906,1.0986122886681098,0.0909090909090909
3257,Organic Search,Chrome,mobile,Android,organic,1,0.0,19.0,3.091042453358316,2.995732273553991,0.0
3258,Referral,Chrome,desktop,Macintosh,referral,0,0.0909090909090909,16.0,2.772588722239781,2.5649493574615367,0.0
3259,Organic Search,Chrome,desktop,Windows,organic,0,0.0,15.0,4.248495242049359,3.8918202981106265,0.0
3260,Referral,Chrome,desktop,Linux,referral,0,0.0,17.0,3.367295829986474,3.1780538303479458,0.0
3261,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.5,3.367295829986474,3.1780538303479458,0.0
3262,Referral,Chrome,desktop,Linux,referral,0,0.0,0.0,3.258096538021482,3.1780538303479458,0.0
3263,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,3.1354942159291497,2.70805020110221,0.2
3264,Referral,Chrome,desktop,Macintosh,referral,0,0.5,10.0,3.2386784521643803,2.8903717578961645,0.0
3265,Organic Search,Chrome,desktop,Macintosh,cpc,0,0.0,10.5,3.068052935133617,2.917770732084279,0.0
3266,Direct,Chrome,desktop,Windows,(none),0,1.0,18.0,2.833213344056216,2.772588722239781,0.0
3267,Direct,Chrome,desktop,Chrome OS,(none),0,0.1578947368421052,17.0,1.3862943611198906,1.3862943611198906,0.2631578947368421
3268,Direct,Chrome,desktop,Windows,(none),0,0.0,13.5,2.70805020110221,2.5649493574615367,0.0
3269,Direct,Chrome,desktop,Macintosh,(none),0,0.0,22.0,3.044522437723423,2.995732273553991,0.0
3270,Referral,Chrome,desktop,Macintosh,referral,0,0.0,2.0,3.713572066704308,3.4339872044851463,0.0
3271,Organic Search,Chrome,mobile,Android,organic,1,0.2,3.0,2.1972245773362196,2.0794415416798357,0.2
3272,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,16.0,1.9459101490553132,1.9459101490553132,0.0
3273,Referral,Chrome,desktop,Linux,referral,0,0.0,21.0,3.1354942159291497,2.917770732084279,0.0
3274,Organic Search,Chrome,desktop,Windows,organic,0,0.0,19.0,1.9459101490553132,1.6094379124341003,0.0
3275,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.3333333333333333,12.0,1.791759469228055,1.791759469228055,0.0
3276,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,19.0,2.970414465569701,2.772588722239781,0.0
3277,Referral,Chrome,desktop,Macintosh,referral,0,0.0,2.0,2.70805020110221,2.6390573296152584,0.0
3278,Referral,Chrome,desktop,Macintosh,referral,0,0.4,18.0,3.1780538303479458,2.70805020110221,0.0
3279,Display,Chrome,desktop,Macintosh,cpm,0,0.0,21.0,1.3862943611198906,1.252762968495368,0.0
3280,Organic Search,Chrome,desktop,Windows,organic,0,0.1666666666666666,2.0,1.6094379124341003,1.5040773967762742,0.1666666666666666
3281,Direct,Chrome,desktop,Macintosh,(none),0,0.0,20.0,2.9444389791664403,2.70805020110221,0.0
3282,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,21.0,2.5257286443082556,2.4423470353692043,0.0
3283,Referral,Chrome,desktop,Macintosh,referral,0,0.1111111111111111,17.0,1.6094379124341003,1.3862943611198906,0.0
3284,Referral,Chrome,desktop,Linux,referral,0,0.0,16.0,3.5263605246161616,3.4339872044851463,0.0
